9:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        110631       13282728  [B (java.base@21.0.6)
   2:         26013        8735776  [Ljava.lang.Object; (java.base@21.0.6)
   3:        102346        3275072  java.lang.String (java.base@21.0.6)
   4:         14718        2861904  java.lang.Class (java.base@21.0.6)
   5:         49369        1974760  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.6)
   6:          7247        1843208  [I (java.base@21.0.6)
   7:           508         853232  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.6)
   8:          4890         727728  [Ljava.util.HashMap$Node; (java.base@21.0.6)
   9:          3886         559584  java.lang.reflect.Method (java.base@21.0.6)
  10:          9248         517888  java.util.LinkedHashMap$Entry (java.base@21.0.6)
  11:         12422         496880  java.util.HashMap$Node (java.base@21.0.6)
  12:          3546         397152  java.security.Provider$Service (java.base@21.0.6)
  13:          3928         345664  java.util.LinkedHashMap (java.base@21.0.6)
  14:         21356         341696  java.lang.Object (java.base@21.0.6)
  15:           313         324984  [Lio.netty.handler.codec.http2.HpackHeaderField;
  16:          7951         318040  java.security.Provider$ServiceKey (java.base@21.0.6)
  17:          9169         293408  java.util.ArrayList (java.base@21.0.6)
  18:          6643         265720  java.util.Hashtable$Entry (java.base@21.0.6)
  19:          1245         249048  [J (java.base@21.0.6)
  20:          3848         246272  java.lang.invoke.MemberName (java.base@21.0.6)
  21:          3253         182168  java.lang.ref.SoftReference (java.base@21.0.6)
  22:          2758         176512  java.util.HashMap (java.base@21.0.6)
  23:          2739         175296  java.lang.invoke.MethodType (java.base@21.0.6)
  24:           715         164040  [C (java.base@21.0.6)
  25:          1545         148320  io.netty.buffer.PoolSubpage
  26:          1716         148280  [Ljava.lang.String; (java.base@21.0.6)
  27:          3492         139680  io.netty.util.AsciiString
  28:          8645         138320  java.lang.Integer (java.base@21.0.6)
  29:          2823         135504  jdk.internal.util.WeakReferenceKey (java.base@21.0.6)
  30:          2092         133888  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.6)
  31:          2079         133056  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$1
  32:          3461         129784  [Ljava.lang.Class; (java.base@21.0.6)
  33:            10         117360  [Ljava.util.Hashtable$Entry; (java.base@21.0.6)
  34:           976         117120  java.lang.reflect.Constructor (java.base@21.0.6)
  35:          2080         116480  io.netty.util.internal.shaded.org.jctools.queues.unpadded.MpscUnpaddedArrayQueue
  36:          2864         114560  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.6)
  37:           636         103616  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.6)
  38:           750          99000  [Ljava.lang.ref.SoftReference; (java.base@21.0.6)
  39:          1400          89600  java.util.WeakHashMap$Entry (java.base@21.0.6)
  40:          2760          88320  java.util.Collections$UnmodifiableRandomAccessList (java.base@21.0.6)
  41:          1533          85848  io.netty.handler.codec.http2.HpackEncoder$NameValueEntry
  42:          2681          85792  java.lang.invoke.ResolvedMethodName (java.base@21.0.6)
  43:          1771          85008  java.lang.invoke.LambdaForm$Name (java.base@21.0.6)
  44:           578          83232  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Function
  45:          2560          81920  com.aerospike.client.async.HashedWheelTimer$HashedWheelBucket
  46:           138          81696  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
  47:          2028          81120  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
  48:           345          77280  io.netty.channel.epoll.EpollSocketChannel
  49:           286          75504  io.grpc.netty.NettyClientHandler
  50:          1033          74376  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.6)
  51:           652          71152  [Lio.netty.util.internal.PriorityQueueNode;
  52:           709          68064  java.util.concurrent.ConcurrentHashMap (java.base@21.0.6)
  53:           573          64176  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type
  54:           790          63136  [S (java.base@21.0.6)
  55:           286          61776  io.grpc.netty.NettyClientTransport
  56:            48          59904  [Lio.netty.buffer.PoolSubpage;
  57:           572          59488  io.netty.handler.codec.http2.WeightedFairQueueByteDistributor$State
  58:          1059          59304  java.lang.invoke.DirectMethodHandle (java.base@21.0.6)
  59:          2448          58752  java.util.concurrent.locks.ReentrantLock (java.base@21.0.6)
  60:          1424          56960  com.google.inject.Key
  61:          1725          55200  java.security.Provider$UString (java.base@21.0.6)
  62:           312          54912  [Lio.netty.handler.codec.http2.HpackEncoder$NameEntry;
  63:           312          54912  [Lio.netty.handler.codec.http2.HpackEncoder$NameValueEntry;
  64:           489          54768  java.lang.reflect.Field (java.base@21.0.6)
  65:           619          54472  io.netty.channel.DefaultChannelHandlerContext
