10:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        101233       53447256  [F (java.base@21.0.6)
   2:        485689       45722952  [B (java.base@21.0.6)
   3:         26579       42282136  [Ljava.lang.Object; (java.base@21.0.6)
   4:           521       17701568  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.6)
   5:        345821       11066272  java.lang.String (java.base@21.0.6)
   6:         84042        7395696  java.util.LinkedHashMap (java.base@21.0.6)
   7:         93951        5261256  java.util.LinkedHashMap$Entry (java.base@21.0.6)
   8:        101229        4858992  com.aerospike.vector.client.proto.Vector
   9:        101228        4858944  com.aerospike.vector.client.proto.FloatData
  10:         86492        4151616  com.aerospike.client.Key
  11:         84990        3374608  [Ljava.util.HashMap$Node; (java.base@21.0.6)
  12:        101228        3239296  com.google.protobuf.FloatArrayList
  13:         80006        3200240  java.util.concurrent.ConcurrentLinkedDeque$Node (java.base@21.0.6)
  14:         80000        3200000  com.aerospike.vector.storage.StorageRecord
  15:         15559        3019896  java.lang.Class (java.base@21.0.6)
  16:         71715        2868600  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.6)
  17:         80647        2580704  com.aerospike.vector.storage.AerospikeStorageRecordId
  18:         21222        2546640  com.aerospike.vector.index.hnsw.GraphVertex
  19:         80051        1921224  com.aerospike.client.Value$LongValue
  20:          7004        1849976  [I (java.base@21.0.6)
  21:         21088        1518336  com.github.benmanes.caffeine.cache.PSWMS
  22:         20668         992064  com.aerospike.client.query.PartitionStatus
  23:          5542         798048  java.lang.reflect.Method (java.base@21.0.6)
  24:         23121         739872  com.aerospike.vector.common.HashableByteArray
  25:          1295         510448  [J (java.base@21.0.6)
  26:         12565         502600  java.util.HashMap$Node (java.base@21.0.6)
  27:          3546         397152  java.security.Provider$Service (java.base@21.0.6)
  28:         22036         352576  java.lang.Object (java.base@21.0.6)
  29:          7951         318040  java.security.Provider$ServiceKey (java.base@21.0.6)
  30:          4775         305600  java.lang.invoke.MemberName (java.base@21.0.6)
  31:          9428         301696  java.util.ArrayList (java.base@21.0.6)
  32:          6643         265720  java.util.Hashtable$Entry (java.base@21.0.6)
  33:           245         254264  [Lio.netty.handler.codec.http2.HpackHeaderField;
  34:          3282         210048  java.lang.invoke.MethodType (java.base@21.0.6)
  35:          3379         189224  java.lang.ref.SoftReference (java.base@21.0.6)
  36:          5289         187296  [Ljava.lang.Class; (java.base@21.0.6)
  37:          2800         179200  java.util.HashMap (java.base@21.0.6)
  38:           193         168432  [Lcom.aerospike.client.query.PartitionStatus;
  39:          4100         164000  com.aerospike.client.query.PartitionFilter
  40:           647         160776  [C (java.base@21.0.6)
  41:          1660         159360  io.netty.buffer.PoolSubpage
  42:          3282         157536  jdk.internal.util.WeakReferenceKey (java.base@21.0.6)
  43:          3818         152720  io.netty.util.AsciiString
