9:
 num     #instances         #bytes  class name (module)
  84:          2198          52752  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$EntrySet
  85:           142          52392  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.6)
  86:          1072          51456  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation
  87:          1608          51456  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@21.0.6)
  88:          1063          51024  sun.util.locale.BaseLocale (java.base@21.0.6)
  89:           579          50952  kotlin.reflect.jvm.internal.impl.metadata.jvm.JvmProtoBuf$StringTableTypes$Record
  90:          1251          50040  java.net.InetAddress$InetAddressHolder (java.base@21.0.6)
  91:           693          49896  java.lang.invoke.LambdaForm (java.base@21.0.6)
  92:           428          47936  java.net.URL (java.base@21.0.6)
  93:          1187          47480  com.google.inject.spi.Dependency
  94:           388          46560  com.google.common.cache.LocalCache$Segment
  95:          1439          46048  com.google.inject.TypeLiteral
  96:          1063          42520  java.util.Locale (java.base@21.0.6)
  97:           661          42304  java.lang.reflect.Parameter (java.base@21.0.6)
  98:           878          42144  java.lang.ref.ReferenceQueue (java.base@21.0.6)
  99:          1044          41760  sun.util.locale.BaseLocale$Key (java.base@21.0.6)
 100:            11          41296  [Ljava.nio.ByteBuffer; (java.base@21.0.6)
 101:           395          41080  io.netty.handler.codec.http2.WeightedFairQueueByteDistributor$State
 102:          1027          41080  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.6)
 103:           180          40320  kotlin.reflect.jvm.internal.impl.serialization.deserialization.descriptors.DeserializedPropertyDescriptor
 104:           445          39160  io.netty.channel.DefaultChannelHandlerContext
 105:           222          39072  java.lang.Thread (java.base@21.0.6)
 106:          1606          38544  sun.reflect.generics.tree.ClassTypeSignature (java.base@21.0.6)
 107:           516          37152  java.util.WeakHashMap (java.base@21.0.6)
 108:           318          35936  [Lio.netty.util.internal.PriorityQueueNode;
 109:           745          35760  java.lang.ref.WeakReference (java.base@21.0.6)
 110:           316          35392  kotlin.reflect.jvm.internal.KFunctionImpl
 111:           438          35040  java.lang.invoke.DirectMethodHandle$StaticAccessor (java.base@21.0.6)
 112:          1095          35040  org.bouncycastle.asn1.ASN1ObjectIdentifier
 113:           362          34752  io.netty.channel.DefaultChannelPipeline$HeadContext
 114:           850          34000  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.6)
 115:           421          33680  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.6)
 116:          1042          33344  java.util.ArrayDeque (java.base@21.0.6)
 117:          1387          33288  java.util.LinkedHashSet (java.base@21.0.6)
 118:          1025          32800  io.netty.handler.codec.http2.HpackHeaderField
 119:             1          32784  [Lcom.aerospike.client.query.PartitionStatus;
 120:           184          32384  [Lio.netty.buffer.PoolThreadCache$MemoryRegionCache;
 121:           465          32048  [Ljava.lang.reflect.Field; (java.base@21.0.6)
 122:           362          31856  io.netty.channel.ChannelOutboundBuffer
 123:           362          31856  io.netty.channel.DefaultChannelPipeline$TailContext
 124:           629          30192  java.lang.Package (java.base@21.0.6)
 125:           538          30128  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21.0.6)
 126:           753          30120  kotlin.SynchronizedLazyImpl
 127:           198          30096  java.util.jar.JarFile$JarFileEntry (java.base@21.0.6)
 128:           536          30016  java.util.IdentityHashMap (java.base@21.0.6)
 129:           178          29904  org.jvnet.hk2.internal.SystemDescriptor
 130:           929          29728  java.net.InetSocketAddress$InetSocketAddressHolder (java.base@21.0.6)
 131:          1608          29624  [Lsun.reflect.generics.tree.TypeArgument; (java.base@21.0.6)
 132:           231          29568  kotlin.reflect.jvm.internal.KProperty1Impl
 133:           135          29424  [Lio.netty.handler.codec.http2.HpackEncoder$NameEntry;
 134:           135          29424  [Lio.netty.handler.codec.http2.HpackEncoder$NameValueEntry;
 135:           261          29232  com.google.protobuf.Descriptors$FieldDescriptor
 136:           332          29216  io.netty.util.concurrent.ScheduledFutureTask
 137:           946          28984  [Ljava.lang.reflect.Type; (java.base@21.0.6)
 138:           362          28960  io.netty.channel.DefaultChannelPipeline
 139:            14          28896  [Lcom.aerospike.client.async.HashedWheelTimer$HashedWheelBucket;
 140:           109          28776  io.grpc.netty.NettyClientHandler
 141:           715          28600  java.util.LinkedList (java.base@21.0.6)
 142:           357          28560  kotlin.reflect.jvm.internal.impl.descriptors.impl.ValueParameterDescriptorImpl
 143:           356          28480  kotlin.reflect.jvm.internal.impl.metadata.jvm.JvmProtoBuf$JvmPropertySignature
 144:          1164          27936  java.util.jar.Attributes$Name (java.base@21.0.6)
 145:            56          27776  io.grpc.internal.ManagedChannelImpl
 146:           384          27648  io.netty.util.collection.IntObjectHashMap
 147:           262          27248  com.google.protobuf.DescriptorProtos$FieldDescriptorProto
 148:           338          27040  io.netty.channel.epoll.EpollSocketChannel$EpollSocketChannelUnsafe
 149:           338          27040  io.netty.channel.epoll.EpollSocketChannelConfig
 150:           672          26880  kotlin.reflect.jvm.internal.impl.storage.LockBasedStorageManager$MapBasedMemoizedFunction
 151:           837          26784  java.net.Inet4Address (java.base@21.0.6)
 152:           180          26560  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@21.0.6)
 153:           174          26448  sun.nio.fs.UnixFileAttributes (java.base@21.0.6)
 154:           651          26040  com.google.inject.internal.SingleParameterInjector
 155:           123          25888  [Z (java.base@21.0.6)
 156:           461          25816  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@21.0.6)
 157:           402          25728  com.fasterxml.jackson.databind.introspect.AnnotatedMethod
 158:           453          25368  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type$Argument
 159:           624          24960  java.util.LinkedList$Node (java.base@21.0.6)
 160:           384          24576  io.netty.buffer.PoolChunkList
 161:           512          24576  io.netty.handler.codec.CodecOutputList
 162:           255          24480  io.netty.channel.AdaptiveRecvByteBufAllocator$HandleImpl
 163:           508          24384  java.lang.invoke.MethodTypeForm (java.base@21.0.6)
 164:            86          24080  java.util.concurrent.atomic.Striped64$Cell (java.base@21.0.6)
 165:           109          23544  io.grpc.netty.NettyClientTransport
 166:           362          23168  io.netty.channel.AbstractChannel$CloseFuture
 167:           724          23168  io.netty.channel.VoidChannelPromise
 168:           721          23072  java.util.concurrent.atomic.LongAdder (java.base@21.0.6)
 169:           476          22848  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation$Argument
 170:           286          22816  [S (java.base@21.0.6)
 171:           310          22320  java.lang.invoke.LambdaFormEditor$Transform (java.base@21.0.6)
 172:           929          22296  java.net.InetSocketAddress (java.base@21.0.6)
 173:           927          22248  java.util.HashSet (java.base@21.0.6)
 174:           896          21504  io.netty.buffer.IntPriorityQueue
 175:           665          21280  kotlin.reflect.jvm.internal.impl.name.ClassId
 176:            94          21056  org.glassfish.hk2.internal.ConstantActiveDescriptor
 177:           174          20880  java.util.zip.ZipFile$Source (java.base@21.0.6)
 178:           517          20680  com.google.common.cache.LocalCache$StrongEntry
 179:           424          20352  com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$Node
 180:           141          20304  com.fasterxml.jackson.databind.deser.CreatorProperty
